Word,Class,Cluster_New
Existence,1,8
Inexistence,1,22
Substantiality,1,1
Unsubstantiality,1,19
Intrinsicality,1,20
Extrinsicality,1,18
State,1,8
Circumstance,1,8
Relation,1,18
Irrelation,1,19
Consanguinity,1,3
Correlation,1,18
Identity,1,18
Contrariety,1,18
Difference,1,18
Uniformity,1,18
Nonuniformity,1,18
Similarity,1,18
Dissimilarity,1,18
Imitation,1,1
Nonimitation,1,20
Variation,1,18
Copy,1,1
Prototype,1,1
Agreement,1,18
Disagreement,1,19
Quantity,1,8
Degree,1,8
Equality,1,18
Inequality,1,18
Mean,1,8
Compensation,1,9
Greatness,1,8
Smallness,1,6
Superiority,1,8
Inferiority,1,18
Increase,1,6
"Nonincrease , Decrease",1,23
Addition,1,8
"Nonaddition, Subtraction",1,23
Adjunct,1,1
Remainder,1,8
Decrement,1,4
Mixture,1,6
Simpleness,1,18
Junction,1,11
Disjunction,1,6
Connection,1,11
Coherence,1,18
Incoherence,1,16
Combination,1,18
Decomposition,1,5
Whole,1,18
Part,1,1
Completeness,1,8
Incompleteness,1,22
Composition,1,9
Exclusion,1,23
Exclusion,1,23
Component,1,9
Extraneousness,1,0
Order,1,8
Disorder,1,16
Complexity,1,18
Arrangement,1,8
Derangement,1,6
Precedence,1,8
Sequence,1,8
Sequence,1,8
Precursor,1,8
Sequel,1,1
Beginning,1,8
End,1,8
Middle,1,11
Continuity,1,8
Discontinuity,1,18
Term,1,8
Assemblage,1,6
"Nonassemblage, Dispersion",1,6
Focus,1,8
Class,1,1
Inclusion,1,9
Exclusion,1,23
Exclusion,1,23
Generality,1,18
Speciality,1,8
Normality,1,18
Multiformity,1,18
Conformity,1,18
Unconformity,1,20
Number,1,18
Numeration,1,1
List,1,1
Unity,1,18
Accompaniment,1,8
Duality,1,18
Duplication,1,8
bisection,1,18
Triality,1,11
Triplication,1,18
Trisection,1,18
Four,1,11
Quadruplication,1,8
Quadrisection,1,11
"Five ,",1,8
"Quinquesection ,",1,8
Plurality,1,18
Fraction,1,18
Zero,1,22
Multitude,1,6
Fewness,1,22
Repetition,1,8
Infinity,1,19
Time,1,8
Neverness,1,8
Period,1,8
Contingent Duration,1,8
Course,1,6
Diuturnity,1,14
Transientness,1,8
Perpetuity,1,14
Instantaneity,1,8
Chronometry,1,1
Anachronism,1,8
Priority,1,8
Posteriority,1,8
The Present Time,1,8
Different time,1,8
Synchronism,1,18
Futurity,1,8
The Past,1,8
Newness,1,8
Oldness,1,20
Morning,1,8
Evening,1,8
Youth,1,20
Age,1,20
Infant,1,0
Veteran,1,3
Adolescence,1,20
Earliness,1,8
Punctuality,1,8
Lateness,1,23
Occasion,1,8
Untimeliness,1,19
Frequency,1,8
Infrequency,1,8
Periodicity,1,8
Irregularity of recurrence,1,16
Change,1,18
Permanence,1,14
Cessation,1,23
Continuance in action,1,23
Conversion,1,6
Reversion,1,23
Revolution,1,6
Substitution,1,23
Interchange,1,18
Changeableness,1,16
Stability,1,14
Eventuality,1,8
Destiny,1,8
", Cause",1,8
Effect,1,8
Attribution,1,9
Chance,1,8
Chance,1,8
Power,1,8
Impotence,1,22
Strength,1,14
Weakness,1,16
Production,1,6
Destruction,1,22
Reproduction,1,23
Producer,1,3
Destroyer,1,0
Paternity,1,3
Posterity,1,3
Productiveness,1,6
Unproductiveness,1,22
Agency,1,9
Physical Energy,1,14
Physical Inertness,1,16
Violence,1,16
Moderation,1,14
Influence,1,8
Absence of Influence,1,19
Tendency,1,8
Liability,1,4
Concurrence,1,9
Counteraction,1,22
Space,2,8
Inextension,2,1
Region,2,10
Place,2,10
Situation,2,8
Location,2,10
Displacement,2,23
Presence,2,6
Absence,2,22
Inhabitant,2,3
Abode,2,10
Contents,2,10
Receptacle,2,10
Size,2,11
Littleness,2,11
Expansion,2,6
Contraction,2,6
Distance,2,8
Nearness,2,8
Interval,2,10
Contiguity,2,18
Length,2,11
Shortness,2,6
"Breadth , Thickness ,",2,11
"Narrowness, Thinness",2,11
Layer,2,11
Filament,2,11
Height,2,10
Lowness,2,6
Depth,2,6
Shallowness,2,19
Summit,2,11
Base,2,10
Verticality,2,11
Horizontality,2,11
Pendency,2,11
Support,2,11
Parallelism,2,18
Perpendicularity,2,18
Obliquity,2,6
Inversion,2,18
Crossing,2,11
Exteriority,2,11
Interiority,2,11
Centrality,2,18
Covering,2,11
Lining,2,11
Clothing,2,2
Divestment,2,6
Circumjacence,2,6
Interposition,2,18
Circumscription,2,23
Outline,2,11
Edge,2,11
Inclosure,2,10
Limit,2,8
Front,2,11
Rear,2,11
