Word,Class,Cluster
Existence,1,3
Inexistence,1,4
Substantiality,1,3
Unsubstantiality,1,4
Intrinsicality,1,1
Extrinsicality,1,3
State,1,3
Circumstance,1,3
Relation,1,3
Irrelation,1,4
Consanguinity,1,3
Correlation,1,3
Identity,1,3
Contrariety,1,4
Difference,1,3
Uniformity,1,3
Nonuniformity,1,0
Similarity,1,3
Dissimilarity,1,3
Imitation,1,3
Nonimitation,1,3
Variation,1,3
Copy,1,3
Prototype,1,3
Agreement,1,3
Disagreement,1,4
Quantity,1,3
Degree,1,3
Equality,1,3
Inequality,1,4
Mean,1,3
Compensation,1,3
Greatness,1,1
Smallness,1,1
Superiority,1,3
Inferiority,1,3
Increase,1,3
"Nonincrease , Decrease",1,4
Addition,1,3
"Nonaddition, Subtraction",1,4
Adjunct,1,3
Remainder,1,3
Decrement,1,3
Mixture,1,5
Simpleness,1,3
Junction,1,0
Disjunction,1,4
Connection,1,0
Coherence,1,0
Incoherence,1,1
Combination,1,3
Decomposition,1,3
Whole,1,3
Part,1,0
Completeness,1,3
Incompleteness,1,4
Composition,1,3
Exclusion,1,4
Exclusion,1,4
Component,1,3
Extraneousness,1,2
Order,1,3
Disorder,1,4
Complexity,1,0
Arrangement,1,3
Derangement,1,4
Precedence,1,3
Sequence,1,3
Sequence,1,3
Precursor,1,3
Sequel,1,3
Beginning,1,3
End,1,3
Middle,1,0
Continuity,1,3
Discontinuity,1,4
Term,1,3
Assemblage,1,0
"Nonassemblage, Dispersion",1,3
Focus,1,3
Class,1,3
Inclusion,1,3
Exclusion,1,4
Exclusion,1,4
Generality,1,3
Speciality,1,3
Normality,1,3
Multiformity,1,3
Conformity,1,3
Unconformity,1,1
Number,1,3
Numeration,1,3
List,1,3
Unity,1,3
Accompaniment,1,3
Duality,1,0
Duplication,1,3
bisection,1,0
Triality,1,0
Triplication,1,0
Trisection,1,0
Four,1,0
Quadruplication,1,3
Quadrisection,1,0
"Five ,",1,3
"Quinquesection ,",1,3
Plurality,1,3
Fraction,1,3
Zero,1,4
Multitude,1,0
Fewness,1,4
Repetition,1,3
Infinity,1,1
Time,1,3
Neverness,1,1
Period,1,3
Contingent Duration,1,3
Course,1,3
Diuturnity,1,3
Transientness,1,3
Perpetuity,1,1
Instantaneity,1,3
Chronometry,1,0
Anachronism,1,3
Priority,1,3
Posteriority,1,3
The Present Time,1,3
Different time,1,3
Synchronism,1,3
Futurity,1,3
The Past,1,3
Newness,1,3
Oldness,1,1
Morning,1,0
Evening,1,0
Youth,1,1
Age,1,1
Infant,1,2
Veteran,1,2
Adolescence,1,1
Earliness,1,3
Punctuality,1,3
Lateness,1,4
Occasion,1,3
Untimeliness,1,4
Frequency,1,3
Infrequency,1,1
Periodicity,1,3
Irregularity of recurrence,1,1
Change,1,3
Permanence,1,3
Cessation,1,4
Continuance in action,1,3
Conversion,1,3
Reversion,1,4
Revolution,1,4
Substitution,1,3
Interchange,1,3
Changeableness,1,1
Stability,1,3
Eventuality,1,3
Destiny,1,3
", Cause",1,3
Effect,1,3
Attribution,1,3
Chance,1,3
Chance,1,3
Power,1,3
Impotence,1,4
Strength,1,1
Weakness,1,4
Production,1,3
Destruction,1,4
Reproduction,1,3
Producer,1,2
Destroyer,1,2
Paternity,1,2
Posterity,1,2
Productiveness,1,3
Unproductiveness,1,4
Agency,1,3
Physical Energy,1,1
